Designator,Value,Mid X,Mid Y,Rotation,Layer
C1,100nF,63.560000,-44.737500,90.000000,top
C2,100nF,62.637500,-47.200000,180.000000,top
C3,1uF,60.737500,-45.300000,180.000000,top
C4,100nF,76.462500,-46.300000,180.000000,top
C5,30pF,55.900000,-48.425000,270.000000,top
C6,100nF,76.462500,-47.900000,180.000000,top
C7,10nF,93.400000,-56.662500,90.000000,top
C8,100nF,95.000000,-54.962500,90.000000,top
C9,32pF,55.900000,-51.475000,270.000000,top
C10,10nF,93.400000,-53.162500,90.000000,top
C11,10uF,41.300000,-50.500000,90.000000,top
C12,100nF,91.100000,-50.300000,90.000000,top
C13,100nF,43.300000,-50.300000,270.000000,top
C14,10uF,48.937500,-47.300000,0.000000,top
C15,100nF,66.137500,-35.900000,180.000000,top
C16,100nF,48.862500,-42.100000,180.000000,top
C17,100nF,43.400000,-37.562500,90.000000,top
C18,100nF,48.862500,-40.300000,180.000000,top
D1,Red,84.300000,-34.925000,90.000000,top
D2,Green,60.175000,-62.800000,0.000000,top
D3,Green,82.975000,-46.400000,180.000000,top
FB1,Ferrit,43.700000,-46.100000,90.000000,top
Q1,SS8050,44.500000,-65.200000,0.000000,top
Q2,AO3400A,93.700000,-37.500000,180.000000,top
Q3,AO3400A,93.700000,-44.200000,180.000000,top
R1,2K2,68.687500,-38.700000,0.000000,top
R2,2K2,72.012500,-38.700000,180.000000,top
R3,10k,52.800000,-34.600000,270.000000,top
R4,10k,76.600000,-57.300000,270.000000,top
R5,100R,47.800000,-58.800000,0.000000,top
R6,10k,73.800000,-57.300000,270.000000,top
R7,10K,49.150000,-66.100000,0.000000,top
R8,10K,90.500000,-37.300000,90.000000,top
R9,10K,90.500000,-44.150000,90.000000,top
R10,1K,84.200000,-30.887500,270.000000,top
R11,1K,60.187500,-64.700000,180.000000,top
R12,10k,88.000000,-50.800000,180.000000,top
R13,100R,95.000000,-58.200000,270.000000,top
R14,100R,95.000000,-51.625000,90.000000,top
R15,1K,81.100000,-48.000000,0.000000,top
U1,ATMEGA328P_Arduino,69.600000,-46.064000,270.000000,top
U2,MAX6675,88.700000,-54.900000,90.000000,top
U3,AMS1117-3.3,47.700000,-52.700000,90.000000,top
U4,CH340E,43.984000,-41.424000,270.000000,top
Y1,8MHz,58.900000,-49.850000,90.000000,top
